full_text,text_clean,class,tokens,lemma
"@nongandah @saidiman @saifulmujani Bgtu angkanya 50% ke atas pd gumbira krn takut kalo isu nepotisme, politik dinasti, ketidaknetralan &amp  demokrasi yg mendung jd isu bersama Ganjar &amp  Anies.",bgtu angka atas gumbira takut nepotisme politik dinasti ketidaknetralan demokrasi mendung jadi,0,"['bgtu', 'angka', 'atas', 'gumbira', 'takut', 'nepotisme', 'politik', 'dinasti', 'ketidaknetralan', 'demokrasi', 'mendung', 'jadi']",angka atas gumbira takut nepotisme politik dinasti ketidaknetralan demokrasi mendung
"@nieke_olivia Mari fokus pada penyebaran program dan rekam jejak Pak Anies, tidak perlu kampanye negatif. Fokus kepada Pak Anies, bukan ke yang lain.",fokus sebar program rekam jejak perlu kampanye negatif fokus,2,"['fokus', 'sebar', 'program', 'rekam', 'jejak', 'perlu', 'kampanye', 'negatif', 'fokus']",fokus sebar program rekam jejak perlu kampanye negatif fokus
Arab Saudi menjaga Israel  Ayo wahaboy jilat terus pantat Bani Saud @Geyelicius @fotodakwah,arab saudi jaga israel wahaboy jilat terus pantat bani saud,1,"['arab', 'saudi', 'jaga', 'israel', 'wahaboy', 'jilat', 'terus', 'pantat', 'bani', 'saud']",arab saudi jaga israel wahaboy jilat terus pantat bani saud
"Dulu sebelum putusan MK soal usia Capres/Cawapres  publik dipecah antara yg pro JKW dg tema keberlanjutan (Ganjar dan Prabowo) melawan yg antitesa JKW perubahan (Anies)  nanti tema itu berubah, saat ini gejalanya sih sudah terasa  ini penting utk melihat peta pilpres putaran2",putus soal usia capres cawapres publik pecah profesional jokowi tema lanjut lawan antitesa jokowi ubah tema ubah gejala asa penting lihat peta pilpres putar,0,"['putus', 'soal', 'usia', 'capres', 'cawapres', 'publik', 'pecah', 'profesional', 'jokowi', 'tema', 'lanjut', 'lawan', 'antitesa', 'jokowi', 'ubah', 'tema', 'ubah', 'gejala', 'asa', 'penting', 'lihat', 'peta', 'pilpres', 'putar']",putus soal usia capres cawapres publik pecah profesional jokowi tema lanjut lawan antitesa jokowi ubah tema ubah gejala asa penting lihat peta pilpres putar
Anies Baswedan Ajak Jemaah Haul Habib Ali Al-Habsyi di Solo Doakan Palestina https://t.co/YtwkuMdJhx,baswedan ajak jemaah haul habib habsyi solo doa palestina,2,"['baswedan', 'ajak', 'jemaah', 'haul', 'habib', 'habsyi', 'solo', 'doa', 'palestina']",baswedan ajak jemaah haul habib habsyi solo doa palestina
@Chaves1305 Paaaajooooohhhhhâ€¦.Insya Allah Anies RI.1,paaaajooooohhhhh insya allah,2,"['paaaajooooohhhhh', 'insya', 'allah']",paaaajooooohhhhh insya allah
@andre_rosiade @saifulmujani Apa yg di ucapkan RG benar adanya anies melalui survei dbawah 20%ðŸ˜,ucap benar survei dbawah,1,"['ucap', 'benar', 'survei', 'dbawah']",ucap benar survei dbawah
"@kencana42106058 @DoankWarto Prabowor memang asli indonesia ?  Ayahnya Chinese, bahkan pernah melarikan diri dari indonesia karena terlibat pemberontakan PRRI.. benar, Anies keturunan Arab dan Ibunya seorang Sundanesse, tapi kakeknya anggota BPUPKI yang menyiapkan kemerdekaan Indonesia. Seorang Pahlawan.",prabowor asli indonesia ayah chinese lari indonesia libat ronta prri benar turun arab ibu sundane kakek anggota bpupki siap merdeka indonesia pahlawan,1,"['prabowor', 'asli', 'indonesia', 'ayah', 'chinese', 'lari', 'indonesia', 'libat', 'ronta', 'prri', 'benar', 'turun', 'arab', 'ibu', 'sundane', 'kakek', 'anggota', 'bpupki', 'siap', 'merdeka', 'indonesia', 'pahlawan']",prabowor asli indonesia ayah chinese lari indonesia libat ronta prri benar turun arab ibu sundane kakek anggota bpupki siap merdeka indonesia pahlawan
"@umam27642118 @mohmahfudmd Siapa? Anies dan ganjar sudah Enggak menjabat. Tinggal @prabowo dan @mohmahfudmd . Kapan kalian mundur dari menteri, biar pilpres jurdil.",jabat tinggal mundur menteri pilpres jujur adil,0,"['jabat', 'tinggal', 'mundur', 'menteri', 'pilpres', 'jujur', 'adil']",jabat tinggal mundur menteri pilpres jujur adil
@Azri_Ardhani Ini yg tau saja..blm org yg tdk tau terus dikasih tau kalo pak Anies mau datang uwahhhhhhh..bisa gak muat itu gedung tumpah ruwah,tahu orang tidak tahu terus kasih tahu datang uwahhhhhhh muat gedung tumpah ruwah,2,"['tahu', 'orang', 'tidak', 'tahu', 'terus', 'kasih', 'tahu', 'datang', 'uwahhhhhhh', 'muat', 'gedung', 'tumpah', 'ruwah']",tahu orang tahu terus kasih tahu datang uwahhhhhhh muat gedung tumpah ruwah
"Pidato Anies utk Palestina   Pernahkan ibu2 bayangkan, Ibu melahirkan seorang anak juga menguburkan anak tsb. Bapak2 pernahkah membayangkan Bapak yg adzankan anak ketika lahir &amp  jg adzankan ketika anak itu mati ?? Itu yang terjadi saat ini di Palestina.   #FreePalestine ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ https://t.co/z1dSD62mz8",pidato palestina pernah bayang lahir anak kubur anak bapak pernah bayang bapak adzankan anak lahir adzankan anak mati jadi palestina,2,"['pidato', 'palestina', 'pernah', 'bayang', 'lahir', 'anak', 'kubur', 'anak', 'bapak', 'pernah', 'bayang', 'bapak', 'adzankan', 'anak', 'lahir', 'adzankan', 'anak', 'mati', 'jadi', 'palestina']",pidato palestina pernah bayang lahir anak kubur anak bapak pernah bayang bapak adzankan anak lahir adzankan anak mati palestina
@choymarkochoy @erickthohir @KPU_ID @sobat_anies @yacoblaw2323 @Obay_Kusut1981 @satriohendri @Heraloebss @msaid_didu Itu meja badhogan semua ya . Untal semuanya ya toink. Besok juga jadi tokay bau...disgusting,meja badhogan untal toink besok jadi tokay disgusting,1,"['meja', 'badhogan', 'untal', 'toink', 'besok', 'jadi', 'tokay', 'disgusting']",meja badhogan untal toink besok tokay disgusting
@choymarkochoy @erickthohir @KPU_ID @sobat_anies @yacoblaw2323 @Obay_Kusut1981 @satriohendri @Heraloebss @msaid_didu Sama2 gemoy,gemoy,1,['gemoy'],gemoy
"@aniesbaswedan Semoga Allah meridhoi keinginan kita. In syaa Allah  abdi"" harus mensukseskan hajat ente agan Anies. AMIN. !!!!""",moga allah meridhoi ingin syaa allah abdi sukses hajat ente agan amin,2,"['moga', 'allah', 'meridhoi', 'ingin', 'syaa', 'allah', 'abdi', 'sukses', 'hajat', 'ente', 'agan', 'amin']",moga allah meridhoi insya allah abdi sukses hajat ente agan amin
"@mharisman @ismailfahmi Salah. Anies gak pernah shifting. Dari dulu emang liberal. Citra muslim konservatif"" kan framming yg dilakukan musuh dan pendukungnya Anies.""",salah shifting memang liberal citra muslim konservatif framming laku musuh dukung,1,"['salah', 'shifting', 'memang', 'liberal', 'citra', 'muslim', 'konservatif', 'framming', 'laku', 'musuh', 'dukung']",salah shifting memang liberal citra muslim konservatif framming laku musuh dukung
Hanya Anies yang bisa selamatkan NKRI.. https://t.co/og0gaas5wZ,selamat nkri,2,"['selamat', 'nkri']",selamat nkri
"Live Streaming Aksi Akbar Bela Palestina di Monas, Jakarta akan dihadiri 2 juta orang, ada Menteri Luar Negeri hingga Anies Baswedan.  #TribunKaltim #AksiAkbarBelaPalestina #Palestina #Palestine #Monas   https://t.co/oJDjTFBdgX lewat @tribunnews",live streaming aksi akbar bela palestina monas jakarta hadir juta orang menteri luar negeri baswedan lewat,0,"['live', 'streaming', 'aksi', 'akbar', 'bela', 'palestina', 'monas', 'jakarta', 'hadir', 'juta', 'orang', 'menteri', 'luar', 'negeri', 'baswedan', 'lewat']",live streaming aksi akbar bela palestina monas jakarta hadir juta orang menteri luar negeri baswedan lewat
"@Judakusumah1 @Menlu_RI @YaqutCQoumas @cholilnafis @YahyaCStaquf @HaedarNs @mohmahfudmd @aniesbaswedan @cakimiNOW https://t.co/LBza6VzQhc O iya, betul. Bu Menlu Retno hadir, juga ada Menag dan P Anies.",betul menlu retno hadir menag,0,"['betul', 'menlu', 'retno', 'hadir', 'menag']",betul menlu retno hadir menag
blunder tim anies ya milih dia jadi wakil..yang bikin gw masih golput sampe sekarang,blunder milih jadi wakil buat golong putih,1,"['blunder', 'milih', 'jadi', 'wakil', 'buat', 'golong', 'putih']",blunder milih wakil buat golong putih
@sobat_anies Keliru sekali... sama menjauhi rakyat,keliru jauh rakyat,1,"['keliru', 'jauh', 'rakyat']",keliru jauh rakyat
@BahrudinHm @DoankWarto @ganjarpranowo @mohmahfudmd Siapakah yg menentang kedatangan timnas Israel ke Indonesia.  Anies  ??? Bukan  Prabowo??? Bukan  Ganjar???  Ya dialah Ganjar Pranowo yg dengan lantang menentang kedatangan timnas Israel ke Indonesia sehingga dia dihujat oleh musuh2nya   Paham ya,tentang datang timnas israel indonesia lantang tentang datang timnas israel indonesia hujat musuh paham,1,"['tentang', 'datang', 'timnas', 'israel', 'indonesia', 'lantang', 'tentang', 'datang', 'timnas', 'israel', 'indonesia', 'hujat', 'musuh', 'paham']",datang timnas israel indonesia lantang datang timnas israel indonesia hujat musuh paham
"@KompasTV Waktu berbeda politik dg anies saja PDIP dan kader menyerang dari berbagai sisi, sedang kini jokowi terang terangan menabuh genderang perang dg PDIP dan organisasi politik itu lunglai tak berdaya, dan hancur.",waktu beda politik pdip kader serang bagai sisi terang terang tabuh genderang perang pdip organisasi politik lunglai daya hancur,1,"['waktu', 'beda', 'politik', 'pdip', 'kader', 'serang', 'bagai', 'sisi', 'terang', 'terang', 'tabuh', 'genderang', 'perang', 'pdip', 'organisasi', 'politik', 'lunglai', 'daya', 'hancur']",waktu beda politik pdip kader serang bagai sisi terang terang tabuh genderang perang pdip organisasi politik lunglai daya hancur
"@DoankWarto ngapain bahas Anies gak penting ðŸ¤£, yg penting hari ini para pembenci SUDAHKAH HARI INI NONTON BOKEP"" ðŸ‘""",sedang apa bahas penting penting hari benci hari nonton porno,1,"['sedang', 'apa', 'bahas', 'penting', 'penting', 'hari', 'benci', 'hari', 'nonton', 'porno']",sedang apa bahas penting penting hari benci hari nonton porno
"@BiLLRaY2019 Pantesan demen banget menyerang prabowo &amp  anies, ternyata antek2 banteng toh ðŸ«¡ðŸ˜‚ðŸ˜‚ðŸ˜‚",pantesan suka banget serang nyata antek banteng,1,"['pantesan', 'suka', 'banget', 'serang', 'nyata', 'antek', 'banteng']",pantesan suka banget serang nyata antek banteng
@muhammadsyakur2 @andre_rosiade @saifulmujani And pendukung Anies ngga akan milih Ganjar juga ðŸ˜‚,dukung milih,0,"['dukung', 'milih']",dukung milih
Politisi Cantik Beberkan Sosok Anies Baswedan Sebenarnya: Bertemunya Saat SMA https://t.co/WBRV3wVyi5,politis cantik kan sosok baswedan temu sama,0,"['politis', 'cantik', 'kan', 'sosok', 'baswedan', 'temu', 'sama']",politis cantik kan sosok baswedan temu sama
"@NasDem AYO SIAPA YG MW HADIAH INI DGN SYARAT MW DI KLAIM SBG MASSA ANIES, BIAR KLO KALAH NANTO ADA ARGUMEN CURANG!!!! https://t.co/OuRYvFQtN8",hadiah syarat klaim sama jadi orang kalau kalah nanto argumen curang,1,"['hadiah', 'syarat', 'klaim', 'sama', 'jadi', 'orang', 'kalau', 'kalah', 'nanto', 'argumen', 'curang']",hadiah syarat klaim sama orang kalau kalah nanto argumen curang
"Ada kawanÂ² SPSI, Hidup Buruuuh âœŠðŸ¼âœŠðŸ¼âœŠðŸ¼ Buruh bersatu tak bisa dikalahkan  Terlihat Anies Baswedan juga dipanggung",kawan spsi hidup buruuuh buruh satu kalah lihat baswedan panggung,1,"['kawan', 'spsi', 'hidup', 'buruuuh', 'buruh', 'satu', 'kalah', 'lihat', 'baswedan', 'panggung']",kawan spsi hidup buruuuh buruh satu kalah lihat baswedan panggung
"@MkomEliya @aniesbaswedan Lah kok bandingin aksi Palestina dgn Aksi Politik. Nggak punya hati lu. Ini kan agenda bersama, Puan aja kabarnya ikut. Udahlah mau ngomong apapun Fondasi 212 itu masa PKS dan FPI. PKS udah ke Anies, FPI sudah jelas tidak ke Ganjar ataupun Bowo. Tinggal tunggu waktunya saja ðŸ¤ªðŸ˜",bandingin aksi palestina aksi politik punya hati kamu agenda kabar ikut udahlah bicara apa fondasi masa jelas bowo tinggal tunggu waktu,1,"['bandingin', 'aksi', 'palestina', 'aksi', 'politik', 'punya', 'hati', 'kamu', 'agenda', 'kabar', 'ikut', 'udahlah', 'bicara', 'apa', 'fondasi', 'masa', 'jelas', 'bowo', 'tinggal', 'tunggu', 'waktu']",bandingin aksi palestina aksi politik punya hati kamu agenda kabar ikut udahlah bicara apa fondasi masa jelas bowo tinggal tunggu waktu
"@mrsasaky @dungu_kadrun @GeiszChalifah kayaknya yg dia sebut banyakan benernya, bebrapa diantaranya program unggulan anies kan?, anies janji tidak gusur eh gusur juga, belum lagi kasus lebih bayar bukan cmn 1-2 kasus..., normalisasi sungai yg diubah jadi naturalisasi sungai? ada data eksekusinya?",seperti sebut banyak benernya bebrapa program unggul janji gusur gusur kasus bayar kasus normalisasi sungai ubah jadi naturalisasi sungai data eksekusi,2,"['seperti', 'sebut', 'banyak', 'benernya', 'bebrapa', 'program', 'unggul', 'janji', 'gusur', 'gusur', 'kasus', 'bayar', 'kasus', 'normalisasi', 'sungai', 'ubah', 'jadi', 'naturalisasi', 'sungai', 'data', 'eksekusi']",sebut banyak benernya bebrapa program unggul janji gusur gusur kasus bayar kasus normalisasi sungai ubah naturalisasi sungai data eksekusi
"@BangPino__ Kalau melihat rekam jejak perjalanan dan sambutan yang di dapat pak Anies Baswedan, hanya satu yang bisa mengalahkannya dalam pilpres 2024 nanti siapa itu ? Siapa lagi kalau bukan Mahkamah Keluarga ðŸ¤£ðŸ¤£ðŸ¤£",lihat rekam jejak jalan sambut baswedan satu kalah pilpres mahkamah keluarga,1,"['lihat', 'rekam', 'jejak', 'jalan', 'sambut', 'baswedan', 'satu', 'kalah', 'pilpres', 'mahkamah', 'keluarga']",lihat rekam jejak jalan sambut baswedan satu kalah pilpres mahkamah keluarga
Ada yang mendukung psk Anies di Solo ya...,dukung solo,1,"['dukung', 'solo']",dukung solo
@Dulur_sempulur @detikcom Anies sudah bicara soal Palestina sejak lama  Nih baca berita tahun 2010  https://t.co/7jV7wCAyCu,bicara soal palestina baca berita tahun,2,"['bicara', 'soal', 'palestina', 'baca', 'berita', 'tahun']",bicara soal palestina baca berita tahun
@Ojoklalenya @jokowi @KPK_RI Dari sejak kasus si anies formula E   @KPK_RI emx musti di reshuffle,kasus formula mesti reshuffle,1,"['kasus', 'formula', 'mesti', 'reshuffle']",kasus formula mesti reshuffle
"Puji Anies Baswedan sebagai Pemimpin Masa Depan, Tokoh Muhammadiyah Optimistis Menang di Kandang Banteng #AniesMuhaimin2024 #AniesInspiratif #RMOL https://t.co/3f8ZMPACfK",puji baswedan pimpin masa tokoh muhammadiyah optimistis menang kandang banteng,2,"['puji', 'baswedan', 'pimpin', 'masa', 'tokoh', 'muhammadiyah', 'optimistis', 'menang', 'kandang', 'banteng']",puji baswedan pimpin masa tokoh muhammadiyah optimistis menang kandang banteng
@sobat_anies @andre_rosiade Ini loh anak kecilnya https://t.co/br7nt5TAbh,anak kecil,0,"['anak', 'kecil']",anak kecil
"Di Kandang Gibran, Anies Ajak Warga Solo Pilih Perubahan https://t.co/allLWNp4iY",kandang gibran ajak warga solo pilih ubah,2,"['kandang', 'gibran', 'ajak', 'warga', 'solo', 'pilih', 'ubah']",kandang gibran ajak warga solo pilih ubah
"@Andria75777 kalo Anies menang, nih orang pasti jadi gembel",menang orang jadi gembel,1,"['menang', 'orang', 'jadi', 'gembel']",menang orang gembel
"Anies Ajak Relawannya Targetkan Menang Besar di Kota Solo   Anies Baswedan mengatakan penguasa musuh demokrasi menebar ketakutan, mari hilangkan rasa takut, kita lawan!""  https://t.co/tnIKR6ZtvR  https://t.co/tnIKR6ZtvR""",ajak rawan target menang besar kota solo baswedan kata kuasa musuh demokrasi tebar takut hilang rasa takut lawan,2,"['ajak', 'rawan', 'target', 'menang', 'besar', 'kota', 'solo', 'baswedan', 'kata', 'kuasa', 'musuh', 'demokrasi', 'tebar', 'takut', 'hilang', 'rasa', 'takut', 'lawan']",ajak rawan target menang besar kota solo baswedan kata kuasa musuh demokrasi tebar takut hilang rasa takut lawan
"@imambasor1 @kholidamril @ismailfahmi Lengkap sudah cita2 nasakom nya pak sukarno, tinggal tambahin kapitalisnya aja supaya sejalan sama idiologi nwo-nya. Jadi nasalibkom (nasionalis, agamis, liberalis, komunis). 4 in 1 ðŸ˜‚ Diborong semua sama pak anies ðŸ˜‚",lengkap cita nasakom sukarno tinggal tambahin kapitalis jalan idiologi jadi nasalibkom nasionalis agam liberalis komunis borong,1,"['lengkap', 'cita', 'nasakom', 'sukarno', 'tinggal', 'tambahin', 'kapitalis', 'jalan', 'idiologi', 'jadi', 'nasalibkom', 'nasionalis', 'agam', 'liberalis', 'komunis', 'borong']",lengkap cita nasakom sukarno tinggal tambahin kapitalis jalan idiologi nasalibkom nasionalis agam liberalis komunis borong
"@anwar95866730 @detikcom Lah salahin Jokowi yg jadi presiden dong, kok malah salahin Anies?",salahin jadi presiden salahin,2,"['salahin', 'jadi', 'presiden', 'salahin']",salahin presiden salahin
"@aniesbaswedan @BosPurwa Konspirasi palestina mengorbankan anak2 kecil menjadi martir demi mendukung pencalonan anies menjadi capres di indonesia,",konspirasi palestina korban anak jadi martir dukung calon jadi capres indonesia,1,"['konspirasi', 'palestina', 'korban', 'anak', 'jadi', 'martir', 'dukung', 'calon', 'jadi', 'capres', 'indonesia']",konspirasi palestina korban anak martir dukung calon capres indonesia
@AhmadMuhammd Ciee galau,ciee galau,0,"['ciee', 'galau']",ciee galau
"@ramadhank1440 @dinopattidjalal Selama Anies masih dbawah ketek Suryo Paloh dan bersama Imin kardus durian, tidak akan ada perubahan &amp  perbaikan berarti, tdk ada gunanya sby ahy bergabung balik dng mrk, track record paloh &amp  imin sdh jelas ðŸ‘ŽðŸ‘Ž",dbawah ketek suryo paloh imin kardus durian ubah baik arti guna gabung balik mereka track record paloh imin jelas,1,"['dbawah', 'ketek', 'suryo', 'paloh', 'imin', 'kardus', 'durian', 'ubah', 'baik', 'arti', 'guna', 'gabung', 'balik', 'mereka', 'track', 'record', 'paloh', 'imin', 'jelas']",dbawah ketek suryo paloh imin kardus durian ubah baik arti gabung balik track record paloh imin jelas
